Open,High,Low,Close,Adj Close,Volume
1188.3211825997714,1188.2947913210764,1174.3569109862526,1178.0503986917042,1178.0503986917042,1459072.9386740823
1188.6423651995428,1188.6107976429773,1174.7415438437229,1178.3625093367975,1178.3625093367975,1592142.761232077
1188.9635477993143,1188.9297118790662,1175.0671157475094,1178.6746199818906,1178.6746199818906,1590358.6913769508
1189.2847303990857,1189.249024699392,1175.3849748076166,1178.9867306269837,1178.9867306269837,1665115.943589913
1189.605912998857,1189.5683921531715,1175.7018266378382,1179.298841272077,1179.298841272077,1637186.4451407704
1189.9270955986285,1189.8877670954914,1176.0185469326514,1179.61095191717,1179.61095191717,1676874.7077312057
1190.2482781984,1190.2071430642563,1176.3352500500914,1179.923062562263,1179.923062562263,1654172.1272923602
1190.5694607981713,1190.526519173715,1176.651950924317,1180.2351732073564,1180.2351732073564,1676455.6039137735
1190.8906433979428,1190.8458953024583,1176.968651505598,1180.5472838524495,1180.5472838524495,1661227.5233418026
1191.2118259977142,1191.165271433845,1177.2853520486233,1180.8593944975428,1180.8593944975428,1674311.9575643924
1191.5330085974856,1191.4846475655938,1177.6020525866527,1181.1715051426359,1181.1715051426359,1664647.745041804
1191.854191197257,1191.8040236973923,1177.9187531240295,1181.483615787729,1181.483615787729,1672516.4920253344
1192.1753737970282,1192.1233998291978,1178.2354536613213,1181.7957264328222,1181.7957264328222,1666506.1235621579
1192.4965563967996,1192.442775961004,1178.552154198602,1182.1078370779153,1182.1078370779153,1671291.2125474059
1192.817738996571,1192.7621520928103,1178.868854735881,1182.4199477230084,1182.4199477230084,1667583.3184376953
1193.1389215963425,1193.081528224617,1179.1855552731602,1182.7320583681017,1182.7320583681017,1670507.51078389
1193.460104196114,1193.4009043564233,1179.502255810439,1183.0441690131947,1183.0441690131947,1668227.6851484405
1193.7812867958853,1193.7202804882297,1179.818956347718,1183.356279658288,1183.356279658288,1670018.4590601174
1194.1024693956567,1194.039656620036,1180.135656884997,1183.668390303381,1183.668390303381,1668618.658366581
1194.4236519954281,1194.3590327518425,1180.452357422276,1183.9805009484742,1183.9805009484742,1669716.318900585
1194.7448345951996,1194.678408883649,1180.7690579595549,1184.2926115935675,1184.2926115935675,1668857.3584592722
1195.066017194971,1194.9977850154555,1181.085758496834,1184.6047222386605,1184.6047222386605,1669530.4316900182
1195.3871997947424,1195.317161147262,1181.402459034113,1184.9168328837536,1184.9168328837536,1669003.4797473752
1195.7083823945138,1195.6365372790683,1181.7191595713919,1185.228943528847,1185.228943528847,1669416.2681767333
1196.0295649942852,1195.9559134108747,1182.035860108671,1185.54105417394,1185.54105417394,1669093.030040245
1196.3507475940567,1196.275289542681,1182.3525606459498,1185.8531648190333,1185.8531648190333,1669346.2062076093
1196.671930193828,1196.5946656744875,1182.6692611832289,1186.1652754641264,1186.1652754641264,1669147.937326487
1196.9931127935995,1196.914041806294,1182.9859617205077,1186.4773861092194,1186.4773861092194,1669303.2228263833
1197.314295393371,1197.2334179381005,1183.3026622577868,1186.7894967543127,1186.7894967543127,1669181.6103331372
1197.6354779931423,1197.552794069907,1183.6193627950656,1187.1016073994058,1187.1016073994058,1669276.855820792
1197.9566605929137,1197.8721702017133,1183.9360633323447,1187.413718044499,1187.413718044499,1669202.262782547
1198.2778431926852,1198.1915463335197,1184.2527638696238,1187.7258286895922,1187.7258286895922,1669260.682602685
1198.5990257924566,1198.510922465326,1184.5694644069026,1188.0379393346852,1188.0379393346852,1669214.929884307
1198.920208392228,1198.8302985971327,1184.8861649441817,1188.3500499797785,1188.3500499797785,1669250.7623750623
1199.2413909919994,1199.149674728939,1185.2028654814605,1188.6621606248716,1188.6621606248716,1669222.6993248982
1199.5625735917708,1199.4690508607455,1185.5195660187396,1188.9742712699647,1188.9742712699647,1669244.6776297817
1199.8837561915423,1199.7884269925519,1185.8362665560185,1189.286381915058,1189.286381915058,1669227.464788158
1200.2049387913137,1200.1078031243583,1186.1529670932975,1189.598492560151,1189.598492560151,1669240.9454608886
1200.526121391085,1200.4271792561647,1186.4696676305764,1189.9106032052443,1189.9106032052443,1669230.3877404365
1200.8473039908565,1200.7465553879713,1186.7863681678555,1190.2227138503374,1190.2227138503374,1669238.6562838678
1201.168486590628,1201.0659315197777,1187.1030687051345,1190.5348244954305,1190.5348244954305,1669232.1805693333
1201.4896691903994,1201.385307651584,1187.4197692424134,1190.8469351405238,1190.8469351405238,1669237.2521868127
1201.8108517901708,1201.7046837833905,1187.7364697796925,1191.1590457856169,1191.1590457856169,1669233.280223648
1202.1320343899422,1202.0240599151969,1188.0531703169713,1191.47115643071,1191.47115643071,1669236.3909655658
1202.4532169897134,1202.3434360470033,1188.3698708542504,1191.7832670758032,1191.7832670758032,1669233.954710697
1202.7743995894848,1202.6628121788099,1188.6865713915292,1192.0953777208963,1192.0953777208963,1669235.8627243526
1203.0955821892562,1202.9821883106163,1189.0032719288083,1192.4074883659896,1192.4074883659896,1669234.3684159992
1203.4167647890276,1203.3015644424227,1189.3199724660874,1192.7195990110827,1192.7195990110827,1669235.5387207775
1203.737947388799,1203.620940574229,1189.6366730033662,1193.0317096561757,1193.0317096561757,1669234.6221674746
1204.0591299885705,1203.9403167060354,1189.9533735406453,1193.343820301269,1193.343820301269,1669235.3399890026
1204.380312588342,1204.2596928378418,1190.2700740779242,1193.655930946362,1193.655930946362,1669234.7778092127
1204.7014951881133,1204.5790689696485,1190.5867746152032,1193.9680415914552,1193.9680415914552,1669235.2180943042
1205.0226777878847,1204.8984451014549,1190.903475152482,1194.2801522365485,1194.2801522365485,1669234.8732740795
1205.3438603876562,1205.2178212332612,1191.2201756897612,1194.5922628816415,1194.5922628816415,1669235.1433286185
1205.6650429874276,1205.5371973650676,1191.53687622704,1194.9043735267348,1194.9043735267348,1669234.931828687
1205.986225587199,1205.856573496874,1191.853576764319,1195.216484171828,1195.216484171828,1669235.0974701212
1206.3074081869704,1206.1759496286804,1192.1702773015982,1195.528594816921,1195.528594816921,1669234.9677439102
1206.6285907867418,1206.495325760487,1192.486977838877,1195.8407054620143,1195.8407054620143,1669235.0693422202
1206.9497733865132,1206.8147018922934,1192.803678376156,1196.1528161071074,1196.1528161071074,1669234.9897729757
1207.2709559862847,1207.1340780240998,1193.120378913435,1196.4649267522007,1196.4649267522007,1669235.0520896094
1207.592138586056,1207.4534541559062,1193.437079450714,1196.7770373972937,1196.7770373972937,1669235.0032847873
1207.9133211858275,1207.7728302877126,1193.7537799879929,1197.0891480423868,1197.0891480423868,1669235.0415074984
1208.234503785599,1208.092206419519,1194.070480525272,1197.40125868748,1197.40125868748,1669235.011572431
1208.5556863853703,1208.4115825513256,1194.3871810625508,1197.7133693325732,1197.7133693325732,1669235.035016824
1208.8768689851418,1208.730958683132,1194.7038815998299,1198.0254799776662,1198.0254799776662,1669235.0166557643
1209.1980515849132,1209.0503348149384,1195.020582137109,1198.3375906227595,1198.3375906227595,1669235.031035685
1209.5192341846846,1209.3697109467448,1195.3372826743878,1198.6497012678526,1198.6497012678526,1669235.0197736921
1209.840416784456,1209.6890870785512,1195.6539832116669,1198.961811912946,1198.961811912946,1669235.028593802
1210.1615993842274,1210.0084632103576,1195.9706837489457,1199.273922558039,1199.273922558039,1669235.0216861134
1210.4827819839988,1210.3278393421642,1196.2873842862248,1199.586033203132,1199.586033203132,1669235.0270960417
